rank,ticker,security,gics_sector,gics_sub_industry,marketCap,composite_score,next_earnings,days_to_earnings,eps_beats_4q,eps_misses_4q,eps_surprise_avg_4q,eps_surprise_trend,eps_yoy_q,rev_yoy_q,rev_accel,rev_up_years,rev_growth_ttm,revenueGrowth,operatingMargins,profitMargins,returnOnEquity,net_debt_ebitda,dist_sma200,dist_52w_high,ret_12m,analyst_upside,trailingPE,forwardPE,recommendationKey,accrual_ratio,cfo_ni,eq_flags
1,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,40445440000,0.7613672496025436,2026-11-02,38.0,4.0,0.0,5.7924999999999995,-1.3050000000000006,0.1763085399449036,0.0965589473048527,0.011308175970227596,3,0.08525077133462511,0.097,0.3498,0.25030002,0.74211,0.5544529525990705,-0.13616208717349387,-0.33037248975721833,-0.20293427401327446,0.3613881845337663,36.6184,30.669008875071675,buy,-0.06846289211382213,1.2034420912977248,
2,TPR,"Tapestry, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",22355795968,0.7334260731319555,2026-11-05,41.0,4.0,0.0,15.190000000000001,0.7999999999999989,0.26923076923076916,0.08902042711234914,-0.015411636878005952,3,0.1044320639903551,0.089,0.19823,0.19086,1.97135,1.385767260516653,-0.18718749022954395,-0.31699827295170957,-0.0027764679345978482,0.485016017849462,15.192412,12.598418308621017,buy,-0.067931465770558,1.2950841133730444,
3,NFLX,Netflix,Communication Services,Movies & Entertainment,298637754368,0.7309300476947534,2026-10-20,25.0,2.0,2.0,-3.5774999999999997,7.205,0.11111111111111116,0.13365374252899542,0.022627708336716346,3,0.11102603419227908,0.134,0.33381,0.28219,0.49541,0.5110874747049546,-0.1546529871718667,-0.42224191415411694,-0.41139296700902217,0.2956869550801853,22.4125,18.808252320123984,buy,0.030099639977927407,0.8770071039225791,RECEIVABLES_OUTRUN
4,VRT,Vertiv,Industrials,Electrical Components & Equipment,94437597184,0.7302146263910969,2026-10-21,26.0,4.0,0.0,13.0025,-3.915000000000001,0.6000000000000001,0.2411584094613548,0.05024421662618406,3,0.19091419283517075,0.241,0.20362,0.15088001,0.43943,0.08496346829749289,-0.06369663125317382,-0.3477096653749875,0.6159593971125397,0.3785317398820016,55.372463,26.88997033453598,strong_buy,-0.12332792288013503,1.9366050808314088,INVENTORY_BUILD
5,LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,25033652224,0.7202782193958663,2026-10-21,26.0,3.0,1.0,8.477500000000001,-18.945,-0.25316455696202544,-0.006614173228346454,-0.09895160917789969,3,0.09233743594955324,-0.007,0.19658001,0.12588,1.22869,2.566932437964286,-0.259394897337033,-0.43405888926387914,-0.25298588410717504,0.5282902372060587,15.2165365,11.008887434624281,buy,-0.09602720371656409,2.160972785176607,RECEIVABLES_OUTRUN
6,BKNG,Booking Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",117140209664,0.7195945945945947,2026-10-27,32.0,4.0,0.0,3.54,3.08,0.144144144144144,0.0814945572227126,-0.001746416555700625,3,0.08324097377841322,0.081,0.34412,0.25527,,0.35628553404507546,-0.14113186311298742,-0.28775681711103296,-0.27913204216998677,0.5169542878136553,18.255268,12.720329657449481,buy,-0.08779776695490839,1.3675960604799555,
7,ADBE,Adobe Inc.,Information Technology,Application Software,95674277888,0.6552464228934818,2026-12-09,75.0,4.0,0.0,2.0725,-0.935,0.15442561205273075,0.12892451569806274,0.017116526762761985,3,0.11180798893530075,0.129,0.34822,0.28048,0.61902,0.115120433634354,-0.09221886164341275,-0.33698699693884226,-0.33957102802264094,0.164168829894225,13.29779,8.63395948384717,hold,-0.11992849238103345,1.483525535420099,
8,BRO,Brown & Brown,Financials,Insurance Brokers,20645459968,0.6369236883942765,2026-10-26,31.0,3.0,1.0,4.54,-7.17,0.03883495145631066,0.3242594075260208,0.10867211079733785,3,0.21558729672868293,0.324,0.41838002,0.18084998,0.10023,2.4716458755186723,-0.11658694794516322,-0.36521937235212865,-0.34218623554528615,0.2680258192967906,19.967638,12.503212965055988,hold,-0.011346649136393926,1.2614107883817427,RECEIVABLES_OUTRUN
9,VRSK,Verisk Analytics,Industrials,Research & Consulting Services,21950812160,0.6141891891891891,2026-10-28,33.0,4.0,0.0,5.2325,-3.4149999999999996,0.05319148936170226,0.04361894900336516,0.00584239530835351,3,0.03777655369501165,0.044,0.45106998,0.28237,,2.681685977287305,-0.11581049759477513,-0.32270863454349297,-0.30237715041256885,0.3920232344870178,26.35156,19.388709298314293,buy,-0.13297025013992336,1.697571993224167,
10,CPRT,Copart,Industrials,Diversified Support Services,26723547136,0.6141176470588234,2026-11-19,55.0,2.0,2.0,-1.4599999999999997,0.10999999999999988,-0.14634146341463417,0.02092074380465392,0.016778083595545112,3,0.004142660209108806,0.024,0.32011002,0.31809,0.1616,-2.338746947357639,-0.17254890356978503,-0.3872377197546223,-0.3821066492828109,0.3801711389591864,18.622581,15.83733542789266,buy,-0.01368710049832159,1.0851312869358183,RECEIVABLES_OUTRUN
