rank,ticker,security,gics_sector,gics_sub_industry,marketCap,composite_score,next_earnings,days_to_earnings,eps_beats_4q,eps_misses_4q,eps_surprise_avg_4q,eps_surprise_trend,eps_yoy_q,rev_yoy_q,rev_accel,rev_up_years,beat_up_rate,n_beats_measured,reaction_avg_move,reaction_avg_abs_move,reaction_worst,reaction_last4,ret_21d,run_into_print_flag,rev_growth_ttm,revenueGrowth,operatingMargins,profitMargins,returnOnEquity,net_debt_ebitda,dist_sma200,dist_52w_high,ret_12m,analyst_upside,trailingPE,forwardPE,recommendationKey,accrual_ratio,cfo_ni,eq_flags
11,GRMN,Garmin,Consumer Discretionary,Consumer Electronics,53102956544,0.6241319444444443,2026-10-28,40,3.0,0.0,17.43,1.1999999999999993,0.2949308755760369,0.11436796938548333,0.014483057690682699,3,0.8333333333333334,6.0,0.045402787263252545,0.11381328297361752,-0.11479711919174418,"+16%, +2%, +9%, -11%",-0.07068223984199262,False,0.09988491169480063,0.114,0.30438998,0.24471001,0.21886998,-1.0553181505759999,0.14793445997420407,-0.11733212235557999,0.18265841689668383,0.05424257695810408,28.563278,25.020355554610955,hold,-0.009348000206180191,1.054147086178297,
12,FSLR,First Solar,Information Technology,Semiconductors,21618624512,0.6153819444444444,2026-10-29,41,3.0,1.0,9.637500000000001,25.115000000000002,0.23270440251572322,-0.037347904153412825,-0.1281859014495912,3,1.0,4.0,0.013382524783144473,0.07473496332547183,-0.13605530481157202,"+3%, +6%, -14%, +14%",-0.08567788425693945,False,0.09083799729617836,-0.037,0.42641997,0.32465,0.18509,-0.6425055314304132,-0.1194273271787053,-0.3679182917137176,-0.019926900550015225,0.3571510987769151,11.777518,8.652370157516033,buy,,1.2346653577806364,
13,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,39901061120,0.5980555555555556,2026-11-02,45,4.0,0.0,5.7924999999999995,-1.3050000000000006,0.1763085399449036,0.0965589473048527,0.00929076935922879,3,0.75,8.0,0.06810347038389848,0.10408509248255042,-0.09789832060628689,"+4%, +3%, -5%, +15%",-0.08465263449337856,False,0.08726817794562391,0.097,0.3498,0.25030002,0.74211,0.5544529525990705,-0.15378863385655672,-0.3393853813523059,-0.21555023335441414,0.3799618639221414,36.09979,30.25621865630378,buy,-0.06846289211382213,1.2034420912977248,
14,AME,Ametek,Industrials,Electrical Components & Equipment,53720498176,0.5732638888888889,2026-10-29,41,4.0,0.0,4.84,-1.17,0.1741573033707864,0.14979336983762037,0.06807458154600066,3,0.875,8.0,0.035740424886501365,0.04066902157097119,-0.019714386737879286,"+4%, +3%, +1%, +8%",-0.061316528911879,False,0.08171878829161972,0.15,0.26182,0.20044,0.14562,0.7260011451340148,0.0323994604457587,-0.09228883905814211,0.2588950619647159,0.187834291994033,33.91028,24.44648076413182,buy,-0.024108840143448194,1.243656860816992,
15,DXCM,Dexcom,Health Care,Health Care Equipment,33181331456,0.5631944444444443,2026-10-29,41,4.0,0.0,11.5275,11.044999999999998,0.45833333333333326,0.1307579293060237,0.022172734625216073,3,0.6666666666666666,6.0,0.030525082549987856,0.09037947810083287,-0.14633425475243056,"+12%, +3%, +8%, -15%",-0.01863837273867419,False,0.10858519468080763,0.131,0.24327,0.20118,0.38491002,-0.3909635575826682,0.22349307468099866,-0.04775824353054747,0.14866096407238039,0.07449106871478839,34.482353,28.146067097685634,strong_buy,-0.10869013154553304,1.749224767430229,
16,VRT,Vertiv,Industrials,Electrical Components & Equipment,92970795008,0.5611805555555555,2026-10-21,33,4.0,0.0,13.0025,-3.915000000000001,0.6000000000000001,0.2411584094613548,0.044968971910958055,3,0.625,8.0,0.01959943930604198,0.09624067838013699,-0.17257756593785578,"-17%, +5%, +24%, +7%",-0.11371099777989391,False,0.19618943755039675,0.241,0.20362,0.15088001,0.43943,0.08496346829749289,-0.07340665973564175,-0.35784103329792716,0.7690972325077361,0.4002808907533535,54.024612,26.47231760216481,strong_buy,-0.12332792288013503,1.9366050808314088,INVENTORY_BUILD
17,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,4247823319040,0.5595138888888889,2026-10-28,40,4.0,0.0,85.60499999999999,137.32,2.9437229437229435,0.2423362508814868,0.09248775680374033,3,0.625,8.0,0.0032430237437934134,0.04421408743300666,-0.07292376196779526,"-7%, +10%, -2%, +3%",0.009742092024833227,False,0.14984849407774647,0.242,0.34033,0.54771,0.48676,-0.7027037421946938,0.030929033614072177,-0.13625543923834693,0.38649972596024473,0.23343096352800896,17.211596,23.378472096191157,strong_buy,0.08220297801460076,0.7603243176839131,HIGH_ACCRUALS
18,FOXA,Fox Corporation (Class A),Communication Services,Broadcasting,27320029184,0.5448263888888889,2026-10-29,41,4.0,0.0,40.415,-15.190000000000005,0.40944881889763773,0.2814116215393976,0.24227044820903232,2,0.75,8.0,0.03321609019701738,0.0514225204605403,-0.03667948176870539,"+5%, +8%, -4%, +8%",-0.05451126108474347,False,0.039141173330365264,0.281,0.25214002,0.09839,0.14291,0.8663060728715037,0.02970761388868315,-0.1382571221791573,0.14124317329061942,0.17608827411433925,17.236074,11.1356365752784,buy,-0.012478928125752567,1.1691394658753709,RECEIVABLES_OUTRUN
19,ISRG,Intuitive Surgical,Health Care,Health Care Equipment,137413967872,0.5365277777777778,2026-10-20,32,4.0,0.0,15.7,-0.8699999999999974,0.27853881278538806,0.18536885245901646,0.03305800255248248,3,0.625,8.0,0.017171898064609656,0.0670704965087044,-0.14145098561851588,"-14%, +7%, +0%, +14%",-0.019530610649588054,False,0.15231084990653398,0.185,0.33603,0.28445998,0.17423001,-1.247655996938385,-0.15885894260234024,-0.35305722469524636,-0.1172842150864859,0.24196904987086487,43.883297,31.719620706684243,buy,-0.02766095351341868,1.180833439531031,
20,REGN,Regeneron Pharmaceuticals,Health Care,Biotechnology,81277820928,0.5323611111111112,2026-10-28,40,4.0,0.0,18.8525,8.665000000000003,0.1086113266097748,0.16734682772880616,0.08120807818951148,3,0.7142857142857143,7.0,0.005709118117127918,0.06130817080775737,-0.09166751793505656,"+6%, -6%, +2%, +12%",-0.025659037171603782,False,0.08613874953929468,0.167,0.33106,0.27865,0.14043,-1.1245321537938073,0.0785347523123947,-0.07344813555631013,0.379852877983502,0.07583429839414424,19.15676,13.021860201353158,buy,-0.00882053488564074,1.0814563263797445,
