rank,ticker,security,gics_sector,gics_sub_industry,marketCap,composite_score,next_earnings,days_to_earnings,eps_beats_4q,eps_misses_4q,eps_surprise_avg_4q,eps_surprise_trend,eps_yoy_q,rev_yoy_q,rev_accel,rev_up_years,beat_up_rate,n_beats_measured,reaction_avg_move,reaction_avg_abs_move,reaction_worst,reaction_last4,ret_21d,run_into_print_flag,rev_growth_ttm,revenueGrowth,operatingMargins,profitMargins,returnOnEquity,net_debt_ebitda,dist_sma200,dist_52w_high,ret_12m,analyst_upside,trailingPE,forwardPE,recommendationKey,accrual_ratio,cfo_ni,eq_flags
1,GS,Goldman Sachs,Financials,Investment Banking & Brokerage,274283446272,0.7558628841607565,2026-10-13,20,4.0,0.0,20.485,11.39,0.9230064161319891,0.1437392112601248,-0.04197879422916673,2,0.875,8.0,0.029977960432970463,0.035068311555031706,-0.020361404488244972,"+9%, +2%, +5%, -2%",-0.03778759743392823,False,0.18571800548929152,0.425,0.42176998,0.31039,0.16902,,0.010477362030496096,-0.16316824535550312,0.21627193230879138,0.1899748617024648,14.555006,12.959049228947926,hold,0.03024283385702499,-2.20234669028116,"LOW_CASH_CONVERSION,RECEIVABLES_OUTRUN"
2,INCY,Incyte,Health Care,Biotechnology,25400053760,0.7401654846335699,2026-10-27,34,3.0,1.0,27.7575,23.554999999999996,0.968152866242038,0.37721025166820366,0.1887449691528018,3,0.8,5.0,0.024665274787842306,0.06892713838497633,-0.08236261421699864,"+9%, +2%, -8%, -2%",-0.020201223629653486,False,0.18846528251540184,0.377,0.41899,0.27706,0.30667,-2.315524324154229,0.17866434585599422,-0.04063720039666041,0.4494186223939407,0.02478241826158145,15.9834175,14.02850468812656,buy,-0.053646848718646944,1.227811878443273,
3,SNDK,Sandisk,Information Technology,"Technology Hardware, Storage & Peripherals",262356500480,0.7293262411347518,2026-11-06,44,4.0,0.0,46.3125,-19.235,134.34482758620692,3.7159389794844815,2.7606351894461616,3,0.6666666666666666,6.0,0.03975403422375621,0.07772328217117846,-0.06806371265850608,"-7%, +8%, +7%, +15%",0.10372232012451832,False,0.9553037900383197,3.716,0.78472,0.56465,0.9164,-0.36149638544311397,0.641790739208731,-0.2434089873025964,16.868311576531344,0.2028975809329745,24.272825,6.67357666540546,buy,-0.013411473008001802,1.0208169334382926,
4,BLK,BlackRock,Financials,Asset Management & Custody Banks,173813792768,0.709858156028369,2026-10-14,21,4.0,0.0,7.297499999999999,4.374999999999999,0.15435684647302894,0.3062880324543611,0.12864121177785393,2,0.875,8.0,0.030305441638355107,0.04499332011748916,-0.05875151391653621,"+7%, +3%, +6%, +3%",-0.03856300698448567,False,0.17764682067650717,0.306,0.35079,0.24089001,0.122779995,0.10120548453503023,0.037727261050434224,-0.07402383373448806,-0.020719130394738827,0.21374749034091955,25.6419,16.953294199775783,strong_buy,0.016367556500023268,0.5988442822384428,LOW_CASH_CONVERSION
5,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,318165319680,0.6893498817966903,2026-10-14,21,4.0,0.0,19.0825,-6.565000000000001,0.6244131455399062,0.2742886439374519,0.05246833343033419,3,0.75,8.0,0.026559040039508625,0.04087269177657646,-0.044541738113604845,"-4%, +5%, +6%, +5%",-0.006411192338491634,False,0.2218203105071177,0.28,0.41567,0.25897,0.17969999,,0.075604668066515,-0.09317598190632237,0.323741599393216,0.14704335144962943,16.36349,15.108811346695257,buy,0.023600436722311234,-0.7733564872240138,"LOW_CASH_CONVERSION,RECEIVABLES_OUTRUN"
6,HWM,Howmet Aerospace,Industrials,Aerospace & Defense,91592720384,0.6801536643026005,2026-11-05,43,4.0,0.0,7.55,1.92,0.4615384615384617,0.2406234778373113,0.10506333348749153,3,0.75,8.0,0.035894367244556954,0.05863694309121843,-0.06438002866944303,"-3%, +6%, +6%, +2%",-0.16909083852628792,False,0.13556014434981978,0.241,0.28504,0.20522,0.34732,1.4677881846373972,-0.07852587093151031,-0.2230650953042138,0.18767388584337086,0.4854244062675326,49.497845,35.20820265949366,strong_buy,-0.02881014116969173,1.1870657402458578,
7,APH,Amphenol,Information Technology,Electronic Components,191235735552,0.6775886524822695,2026-10-28,35,4.0,0.0,11.1775,2.795,0.6585365853658538,0.5838910829349409,0.19946112559543328,2,0.875,8.0,0.02964221864347312,0.06015348883783116,-0.12204508077743215,"+6%, +3%, -12%, +5%",0.05440534124386587,False,0.3844299573395076,0.55,0.29779,0.17729001,0.38115,1.4151123768447922,0.10117092460082255,-0.08439203870636769,0.329692100313586,0.22974118556554868,38.775,24.656138273060428,strong_buy,-0.03892619307182648,1.28346209830926,
8,BNY,BNY Mellon,Financials,Asset Management & Custody Banks,104347148288,0.6587234042553193,2026-10-15,22,4.0,0.0,10.0575,7.124999999999999,0.268041237113402,0.13846810326434822,0.031814421876521504,3,0.875,8.0,0.025077068397589636,0.030149144660831156,-0.020288305052966082,"+5%, +2%, +2%, -2%",-0.02130504951973733,False,0.10665368138782672,0.131,0.40046,0.29413998,0.14124,,0.14344581770430898,-0.06642803440614486,0.44400558568911275,0.09029631987435205,17.945158,15.015298103461502,buy,0.005300296944346882,0.5544371749706425,LOW_CASH_CONVERSION
9,STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals",195282829312,0.6569148936170213,2026-10-27,34,4.0,0.0,11.7975,5.255000000000001,1.204633204633205,0.48486088379705405,0.2427492336723367,2,0.625,8.0,0.05960600172793139,0.10978548643517706,-0.08530092568381875,"-9%, +11%, +19%, +19%",0.03186162397278114,False,0.24211165012471736,0.485,0.4307,0.26108998,3.7152898,0.4873389181742822,0.4108916616613212,-0.19751054880588303,3.0831516581636365,0.28229967980771065,61.739037,15.844461195737225,none,-0.054459572103362046,1.153894472361809,RECEIVABLES_OUTRUN
10,MPWR,Monolithic Power Systems,Information Technology,Semiconductors,59846348800,0.6406028368794325,2026-10-29,36,4.0,0.0,4.4375,5.704999999999999,0.5439429928741093,0.4755948923671405,0.2319664057491151,3,0.75,8.0,0.025906671073572765,0.08851077117448462,-0.17450332422463355,"+8%, +6%, +6%, -8%",-0.025118207300654283,False,0.24362848661802539,0.476,0.30989,0.24500999,0.21979,-1.3944338159748362,0.011719361998268063,-0.24277344281290025,0.4018832848259024,0.4399536054870874,74.075424,36.640502397572,strong_buy,-0.004122462570236568,1.0221842409476811,RECEIVABLES_OUTRUN
11,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,40308359168,0.6050236406619386,2026-11-02,40,4.0,0.0,5.7924999999999995,-1.3050000000000006,0.1763085399449036,0.0965589473048527,0.010732538417553394,3,0.75,8.0,0.06810347038389848,0.10408509248255042,-0.09789832060628689,"+4%, +3%, -5%, +15%",-0.055985048141807825,False,0.08582640888729931,0.097,0.3498,0.25030002,0.74211,0.5544529525990705,-0.13591426862063438,-0.3278812637401348,-0.21389455520715506,0.35634216292821885,35.98101,30.783106793298778,buy,-0.06846289211382213,1.2034420912977248,
12,FOXA,Fox Corporation (Class A),Communication Services,Broadcasting,27176863744,0.5593735224586288,2026-10-29,36,4.0,0.0,40.415,-15.190000000000005,0.40944881889763773,0.2814116215393976,0.2429828994412484,2,0.75,8.0,0.03321610174511322,0.051422521583085606,-0.03667954965369491,"+5%, +8%, -4%, +8%",-0.04243312714975023,False,0.03842872209814918,0.281,0.25214002,0.09839,0.14291,0.8663060728715037,0.026873449722747633,-0.14077687044311205,0.09283869772603737,0.1795372576030465,16.783854,11.10307502283669,buy,-0.012478928125752567,1.1691394658753709,RECEIVABLES_OUTRUN
13,REGN,Regeneron Pharmaceuticals,Health Care,Biotechnology,80785489920,0.5582505910165484,2026-10-28,35,4.0,0.0,18.8525,8.665000000000003,0.1086113266097748,0.16734682772880616,0.08135453176129204,3,0.7142857142857143,7.0,0.005709088738397733,0.0613081387098581,-0.09166757858091368,"+6%, -6%, +2%, +12%",-0.03444066490102016,False,0.08599229596751412,0.167,0.33106,0.27865,0.14043,-1.1245321537938073,0.08972831506063561,-0.06321378887451412,0.3399856054099395,0.0640808576931926,19.412867,13.16569520070458,buy,-0.00882053488564074,1.0814563263797445,
14,DXCM,Dexcom,Health Care,Health Care Equipment,33717184512,0.5545508274231679,2026-10-29,36,4.0,0.0,11.5275,11.044999999999998,0.45833333333333326,0.1307579293060237,0.024298173570227455,3,0.6666666666666666,6.0,0.030525082549987856,0.09037947810083287,-0.14633425475243056,"+12%, +3%, +8%, -15%",-0.011638251358356944,False,0.10645975573579625,0.131,0.24327,0.20118,0.38491002,-0.3909635575826682,0.23639865308544827,-0.03432963282070811,0.17669569286541864,0.05954919748898213,35.316204,28.542985082716644,strong_buy,-0.10869013154553304,1.749224767430229,
15,FTNT,Fortinet,Information Technology,Systems Software,124613926912,0.5519267139479905,2026-11-04,42,4.0,0.0,19.755000000000003,13.650000000000002,0.40625,0.25638036809815956,0.11071194016161834,3,0.625,8.0,0.0038224341426063846,0.09578751988227843,-0.2203354563662312,"+2%, +20%, +5%, -6%",0.16207973691616195,True,0.14566842793654122,0.256,0.33595002,0.28173,1.17442,-1.3514908365454144,0.5324815704834502,0.0,1.1636004488145235,-0.06226420129863863,59.80282,46.38450342928535,hold,-0.11863854962187102,1.6014051963974159,
16,GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,4212111966208,0.5510283687943262,2026-10-28,35,4.0,0.0,85.2125,136.775,2.9437229437229435,0.2423362508814868,0.09462783468636604,3,0.625,8.0,0.0033400128602471407,0.043318672823553575,-0.06937562198833502,"-7%, +10%, -2%, +3%",0.038136522175995724,False,0.14770841619512076,0.242,0.34033,0.54771,0.48676,-0.7027037421946938,0.04442355002277232,-0.11961437738334069,0.39415021896617985,0.2036822922374526,17.272316,23.57700990606381,strong_buy,0.08220297801460076,0.7603243176839131,HIGH_ACCRUALS
17,FOX,Fox Corporation (Class B),Communication Services,Broadcasting,24347437056,0.5468203309692671,2026-10-29,36,4.0,0.0,36.055,-18.269999999999996,0.40944881889763773,0.2814116215393976,0.2429828994412484,2,0.75,8.0,0.034106315458558384,0.052895242111211355,-0.037670151755103576,"+6%, +8%, -4%, +8%",-0.037454891017077774,False,0.03842872209814918,0.281,0.25214002,0.09839,0.14291,0.8663060728715037,0.022841298518863073,-0.13668008105054463,0.0829055165322452,,15.036459,10.078329571108657,none,-0.012478928125752567,1.1691394658753709,RECEIVABLES_OUTRUN
18,VRT,Vertiv,Industrials,Electrical Components & Equipment,96012197888,0.542565011820331,2026-10-21,28,4.0,0.0,13.0025,-3.915000000000001,0.6000000000000001,0.2411584094613548,0.04874175760480193,3,0.625,8.0,0.019599431080036187,0.09624068866504472,-0.17257756593785578,"-17%, +5%, +24%, +7%",-0.051802567943717515,False,0.19241665185655288,0.241,0.20362,0.15088001,0.43943,0.08496346829749289,-0.040039274751139775,-0.3329247790199549,0.7689990794735515,0.347978311318103,56.55102,27.49946257622995,strong_buy,-0.12332792288013503,1.9366050808314088,INVENTORY_BUILD
19,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,4274851676160,0.5410283687943261,2026-10-28,35,4.0,0.0,84.9275,135.965,2.9437229437229435,0.2423362508814868,0.09462783468636604,3,0.625,8.0,0.0032430231435561507,0.044214110690832836,-0.07292376739108863,"-7%, +10%, -2%, +3%",0.04264584922925119,False,0.14770841619512076,0.242,0.34033,0.54771,0.48676,-0.7027037421946938,0.052427399877686964,-0.11725615512282395,0.4121062668008968,0.20618437763080522,17.54719,23.852513587776606,strong_buy,0.08220297801460076,0.7603243176839131,HIGH_ACCRUALS
20,AME,Ametek,Industrials,Electrical Components & Equipment,54481641472,0.5352955082742318,2026-10-29,36,4.0,0.0,4.84,-1.17,0.1741573033707864,0.14979336983762037,0.06901061355454785,3,0.875,8.0,0.03574040955864423,0.040668985291314005,-0.019714302930679106,"+4%, +3%, +1%, +8%",0.010463168849257798,False,0.08078275628307252,0.15,0.26182,0.20044,0.14562,0.7260011451340148,0.06077962077723842,-0.06552085766680504,0.28619771075220424,0.15380899941799897,34.74269,25.167396332660747,buy,-0.024108840143448194,1.243656860816992,
21,BAC,Bank of America,Financials,Diversified Banks,403691372544,0.5328486997635934,2026-10-14,21,4.0,0.0,7.66,1.2000000000000002,0.3595505617977528,0.07168902892342555,0.04647867721609655,3,0.75,8.0,0.013294581322437299,0.025178804600117483,-0.03777039589155018,"+2%, +2%, -4%, +4%",-0.05826522420600777,False,0.025210351707328993,0.168,0.38305,0.29524,0.111990005,,0.05901943489299666,-0.10113072528398281,0.1355355124038955,0.18801140592920862,13.332563,10.953270185549545,buy,-0.0072501939198990305,1.781581682466694,RECEIVABLES_OUTRUN
