rank,ticker,security,gics_sector,gics_sub_industry,marketCap,composite_score,next_earnings,days_to_earnings,eps_beats_4q,eps_misses_4q,eps_surprise_avg_4q,eps_surprise_trend,eps_yoy_q,rev_yoy_q,rev_accel,rev_up_years,beat_up_rate,n_beats_measured,reaction_avg_move,reaction_avg_abs_move,reaction_worst,reaction_last4,ret_21d,run_into_print_flag,rev_growth_ttm,revenueGrowth,operatingMargins,profitMargins,returnOnEquity,net_debt_ebitda,dist_sma200,dist_52w_high,ret_12m,analyst_upside,trailingPE,forwardPE,recommendationKey,accrual_ratio,cfo_ni,eq_flags
1,GS,Goldman Sachs,Financials,Investment Banking & Brokerage,274283446272,0.7692735042735043,2026-10-13,19.0,4.0,0.0,20.485,11.39,0.9230064161319891,0.1437392112601248,-0.04170706987372741,2,0.875,8.0,0.02997789505554453,0.0350682655503682,-0.02036148197929466,"+9%, +2%, +5%, -2%",-0.09461753424812758,False,0.1854462811338522,0.425,0.42176998,0.31039,0.16902,,-0.014359633228463009,-0.1832562799730828,0.1860578925737526,0.2192426180742444,14.555006,12.647968981243158,hold,0.03024283385702499,-2.20234669028116,"LOW_CASH_CONVERSION,RECEIVABLES_OUTRUN"
2,INCY,Incyte,Health Care,Biotechnology,25400053760,0.7248290598290598,2026-10-27,33.0,3.0,1.0,27.7575,23.554999999999996,0.968152866242038,0.37721025166820366,0.18934273476157348,3,0.8,5.0,0.024665274787842306,0.06892713838497633,-0.08236261421699864,"+9%, +2%, -8%, -2%",-0.02480242727093429,False,0.18786751690663017,0.377,0.41899,0.27706,0.30667,-2.315524324154229,0.17728178030530173,-0.040714181361751534,0.44042529929481233,0.02486465521123038,15.9834175,14.027379016138731,buy,-0.053646848718646944,1.227811878443273,
3,SNDK,Sandisk,Information Technology,"Technology Hardware, Storage & Peripherals",262356500480,0.7223575498575497,2026-11-06,43.0,4.0,0.0,46.3125,-19.235,134.34482758620692,3.7159389794844815,2.767277699383839,3,0.6666666666666666,6.0,0.03975403422375621,0.07772328217117846,-0.06806371265850608,"-7%, +8%, +7%, +15%",0.21662689685331626,True,0.9486612801006427,3.716,0.78472,0.56465,0.9164,-0.36149638544311397,0.6627274632517188,-0.22202571893402034,16.65031071325055,0.16983494323529036,24.272825,6.862189639151826,buy,-0.013411473008001802,1.0208169334382926,
4,BLK,BlackRock,Financials,Asset Management & Custody Banks,172369362944,0.7179914529914528,2026-10-14,20.0,4.0,0.0,7.297499999999999,4.374999999999999,0.15435684647302894,0.3062880324543611,0.129170764005466,2,0.875,8.0,0.030305489965511842,0.04499335435645925,-0.05875145756378963,"+7%, +3%, +6%, +3%",-0.07800417670750903,False,0.17711726844889508,0.306,0.35079,0.24089001,0.122779995,0.10120548453503023,0.009745783944386188,-0.0989765370088066,-0.05187753277262963,0.24736068935338706,25.575941,16.496445227777755,strong_buy,0.016367556500023268,0.5988442822384428,LOW_CASH_CONVERSION
5,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,318165319680,0.7098789173789174,2026-10-14,20.0,4.0,0.0,18.3975,-5.245000000000003,0.6244131455399062,0.2742886439374519,0.052906419248662795,3,0.75,8.0,0.0265591344807955,0.040872730729805906,-0.044541738113604845,"-4%, +5%, +6%, +5%",-0.07380951346331699,False,0.2213822246887891,0.28,0.41567,0.25897,0.17969999,,0.03452496779893899,-0.1271840643415495,0.26875966632827697,0.19173633110226396,16.36349,14.54219457042497,buy,0.023600436722311234,-0.7733564872240138,"LOW_CASH_CONVERSION,RECEIVABLES_OUTRUN"
6,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,28078366720,0.6936467236467236,2026-10-30,36.0,4.0,0.0,5.2524999999999995,1.165,0.44715447154471555,0.22948444823178527,0.11650034792485875,2,0.8571428571428571,7.0,0.03192778982443381,0.036106753379180095,-0.016715854218985138,"+5%, +9%, +3%, +4%",-0.10348843823497056,False,0.11298410030692652,0.229,0.34634,0.26734,0.26297,-0.4009944844710087,-0.05736349064186175,-0.26320699774772294,0.16214351337964583,0.1739608574115028,20.956352,17.66208967924769,hold,-0.062031987628194694,1.4505949301603724,
7,APP,AppLovin,Communication Services,Advertising,105904930816,0.6887606837606838,2026-11-04,41.0,4.0,0.0,4.1075,-4.295,0.5932203389830508,0.5282461863080474,0.12702357799572406,2,0.75,8.0,0.07822972639549032,0.17657392301138508,-0.19679953235908143,"-20%, +6%, -20%, +1%",0.031003732632191916,False,0.40122260831232337,0.528,0.77678,0.64575994,2.03686,0.08527680818094725,-0.3320522799663268,-0.5702698875525385,-0.5146939038980322,0.5808662014274386,25.260418,15.025649999999999,buy,-0.016533428240586512,1.026672320528621,
8,CPAY,Corpay,Financials,Transaction & Payment Processing Services,25946048512,0.6807193732193733,2026-11-04,41.0,4.0,0.0,3.7575,4.8149999999999995,0.364522417153996,0.21485712730143458,0.06847472018705036,3,0.8571428571428571,7.0,0.044164586945666065,0.05397622387843952,-0.03354812288858022,"+1%, +13%, +12%, +6%",-0.05266943390196854,False,0.14638240711438422,0.215,0.4692,0.22723,0.29215,2.7011218873095664,0.1510426018461546,-0.07073649530394999,0.30878022471401323,0.16661604344499548,23.920097,12.56549611644959,buy,-0.029038011222211505,1.6192910576631445,
9,APH,Amphenol,Information Technology,Electronic Components,202677813248,0.6800641025641024,2026-10-28,34.0,4.0,0.0,11.175,2.799999999999999,0.6666666666666667,0.5838910829349409,0.2008835157387927,2,0.875,8.0,0.02964222869495975,0.060153497596573346,-0.12204507560645439,"+6%, +3%, -12%, +5%",0.04856357953457091,False,0.38300756719614815,0.55,0.29779,0.17729001,0.38115,1.4151123768447922,0.12194060036914478,-0.0662718699354985,0.33554767356664406,0.20925765966310728,41.5101,25.055714744265444,strong_buy,-0.03892619307182648,1.28346209830926,
10,HWM,Howmet Aerospace,Industrials,Aerospace & Defense,91592720384,0.6710113960113959,2026-11-05,42.0,4.0,0.0,7.55,1.92,0.4615384615384617,0.2406234778373113,0.10538155403286242,3,0.75,8.0,0.03589437400182249,0.058636968475019535,-0.06438010317558529,"-3%, +6%, +6%, +2%",-0.15790634221519795,False,0.13524192380444888,0.241,0.28504,0.20522,0.34732,1.4677881846373972,-0.07346448363672986,-0.21824704066038514,0.20515324637577725,0.4762695244430757,49.497845,35.426541471792035,strong_buy,-0.02881014116969173,1.1870657402458578,
