rank,ticker,security,gics_sector,gics_sub_industry,marketCap,composite_score,next_earnings,days_to_earnings,eps_beats_4q,eps_misses_4q,eps_surprise_avg_4q,eps_surprise_trend,eps_yoy_q,rev_yoy_q,rev_accel,rev_up_years,beat_up_rate,n_beats_measured,reaction_avg_move,reaction_avg_abs_move,reaction_worst,reaction_last4,ret_21d,run_into_print_flag,rev_growth_ttm,revenueGrowth,operatingMargins,profitMargins,returnOnEquity,net_debt_ebitda,dist_sma200,dist_52w_high,ret_12m,analyst_upside,trailingPE,forwardPE,recommendationKey,accrual_ratio,cfo_ni,eq_flags
1,LLY,Lilly (Eli),Health Care,Pharmaceuticals,1053940252672,0.7587304075235111,2026-10-29,34.0,4.0,0.0,20.365,12.440000000000001,0.32805071315372447,0.4766679521789432,0.14485404566817595,3,0.8333333333333334,6.0,7.075752130944468e-05,0.08027233703532191,-0.1413642963685544,"+5%, +10%, +10%, +4%",-0.05216013429858157,False,0.33181390651076725,0.477,0.54222,0.33528998,1.02286,1.1019253075879267,0.10900682239222159,-0.07689360154339808,0.5753943756620385,0.12141187722467262,38.611237,24.96370130940207,buy,-0.011280990240356307,1.0513567342537962,
2,SNDK,Sandisk,Information Technology,"Technology Hardware, Storage & Peripherals",256763297792,0.7300626959247648,2026-11-06,42.0,4.0,0.0,46.3125,-19.235,134.34482758620692,3.7159389794844815,2.773875230579465,3,0.6666666666666666,6.0,0.03975403422375621,0.07772328217117846,-0.06806371265850608,"-7%, +8%, +7%, +15%",0.18426222302387685,True,0.9420637489050163,3.716,0.78472,0.56465,0.9164,-0.36149638544311397,0.5939827462703868,-0.2489850127977784,15.481390695193433,0.2183607086763535,24.629496,6.655469981468385,buy,-0.013411473008001802,1.0208169334382926,
3,INCY,Incyte,Health Care,Biotechnology,25223708672,0.7261520376175549,2026-10-27,32.0,3.0,1.0,27.7575,23.554999999999996,0.968152866242038,0.37721025166820366,0.189939899353059,3,0.8,5.0,0.024665274787842306,0.06892713838497633,-0.08236261421699864,"+9%, +2%, -8%, -2%",-0.027660578392503687,False,0.18727035231514466,0.377,0.41899,0.27706,0.30667,-2.315524324154229,0.17406307895137996,-0.04225344834794509,0.4686651423485766,0.026511792782607735,15.872449,14.004871274763577,buy,-0.053646848718646944,1.227811878443273,
4,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,308333576192,0.721755485893417,2026-10-14,19.0,4.0,0.0,19.0825,-6.565000000000001,0.6244131455399062,0.2742886439374519,0.05334419102671206,3,0.75,8.0,0.026559102126526277,0.0408727261195654,-0.044541738113604845,"-4%, +5%, +6%, +5%",-0.08295961488664216,False,0.22094445291073983,0.28,0.41567,0.25897,0.17969999,,0.02308349903092477,-0.13629098539075568,0.24927168861917526,0.2043019619979065,15.857836,14.390462536872919,buy,0.023600436722311234,-0.7733564872240138,"LOW_CASH_CONVERSION,RECEIVABLES_OUTRUN"
5,BLK,BlackRock,Financials,Asset Management & Custody Banks,172369362944,0.7208463949843259,2026-10-14,19.0,4.0,0.0,7.297499999999999,4.374999999999999,0.15435684647302894,0.3062880324543611,0.12969984019983172,2,0.875,8.0,0.030305444079655297,0.04499333664697597,-0.05875157026928268,"+7%, +3%, +6%, +3%",-0.07986563950772718,False,0.17658819225452937,0.306,0.35079,0.24089001,0.122779995,0.10120548453503023,0.021601164864149425,-0.08830917505772384,-0.03504621543471409,0.23276590450756696,25.575941,16.69174757020947,strong_buy,0.016367556500023268,0.5988442822384428,LOW_CASH_CONVERSION
6,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,28078366720,0.7067476489028213,2026-10-30,35.0,4.0,0.0,5.2524999999999995,1.165,0.44715447154471555,0.22948444823178527,0.1169154406195394,2,0.8571428571428571,7.0,0.0319278150989612,0.03610676050331918,-0.016715781617431924,"+5%, +9%, +3%, +4%",-0.12910747594717153,False,0.11256900761224586,0.229,0.34634,0.26734,0.26297,-0.4009944844710087,-0.06215972960418947,-0.26676939565848745,0.13912440017297856,0.17966454146533195,20.956352,17.576693385877974,hold,-0.062031987628194694,1.4505949301603724,
7,APP,AppLovin,Communication Services,Advertising,105904930816,0.6887852664576803,2026-11-04,40.0,4.0,0.0,4.1075,-4.295,0.5932203389830508,0.5282461863080474,0.12879766442160956,2,0.75,8.0,0.07822972639549032,0.17657392301138508,-0.19679953235908143,"-20%, +6%, -20%, +1%",0.046485163779919736,False,0.39944852188643787,0.528,0.77678,0.64575994,2.03686,0.08527680818094725,-0.3353279289615769,-0.5740594170942706,-0.5144211325241599,0.5949309311391904,25.260418,14.893147894819533,buy,-0.016533428240586512,1.026672320528621,
8,APH,Amphenol,Information Technology,Electronic Components,202677813248,0.687115987460815,2026-10-28,33.0,4.0,0.0,11.175,2.799999999999999,0.6666666666666667,0.5838910829349409,0.20230298609964636,2,0.875,8.0,0.029642224375057744,0.06015349609118904,-0.1220450868645252,"+6%, +3%, -12%, +5%",0.06986641630490165,False,0.3815880968352945,0.55,0.29779,0.17729001,0.38115,1.4151123768447922,0.13301983336653644,-0.05616093866441818,0.35273844932241105,0.19630341609897717,41.5101,25.327032059841617,strong_buy,-0.03892619307182648,1.28346209830926,
9,BNY,BNY Mellon,Financials,Asset Management & Custody Banks,101443149824,0.6815438871473355,2026-10-15,20.0,4.0,0.0,10.0625,7.114999999999999,0.268041237113402,0.13846810326434822,0.032284252618559384,3,0.875,8.0,0.02507711937287385,0.030149195997855455,-0.020288306499926412,"+5%, +2%, +2%, -2%",-0.07370172069338932,False,0.10618385064578884,0.131,0.40046,0.29413998,0.14124,,0.11282675046743296,-0.08887402464177852,0.3971848211749007,0.11715625056640078,17.883972,14.654283447060896,buy,0.005300296944346882,0.5544371749706425,LOW_CASH_CONVERSION
10,CPAY,Corpay,Financials,Transaction & Payment Processing Services,25946048512,0.6662774294670847,2026-11-04,40.0,4.0,0.0,3.7575,4.8149999999999995,0.364522417153996,0.21485712730143458,0.06887148691699241,3,0.8571428571428571,7.0,0.044164586945666065,0.05397622387843952,-0.03354812288858022,"+1%, +13%, +12%, +6%",-0.03285660432529447,False,0.14598564038444217,0.215,0.4692,0.22723,0.29215,2.7011218873095664,0.16432748639956074,-0.05860216226705628,0.33475589957812435,0.15157871594121097,23.920097,12.729576502562104,buy,-0.029038011222211505,1.6192910576631445,
