rank,ticker,security,gics_sector,gics_sub_industry,marketCap,composite_score,next_earnings,days_to_earnings,eps_beats_4q,eps_misses_4q,eps_surprise_avg_4q,eps_surprise_trend,eps_yoy_q,rev_yoy_q,rev_accel,rev_up_years,rev_growth_ttm,revenueGrowth,operatingMargins,profitMargins,returnOnEquity,net_debt_ebitda,dist_sma200,dist_52w_high,ret_12m,analyst_upside,trailingPE,forwardPE,recommendationKey,accrual_ratio,cfo_ni,eq_flags
1,SNDK,Sandisk,Information Technology,"Technology Hardware, Storage & Peripherals",262356500480,0.9165719696969696,2026-11-06,43.0,4.0,0.0,46.3125,-19.235,134.34482758620692,3.7159389794844815,2.767277699383839,3,0.9486612801006427,3.716,0.78472,0.56465,0.9164,-0.36149638544311397,0.6627274632517188,-0.22202571893402034,16.65031071325055,0.16983494323529036,24.272825,6.862189639151826,buy,-0.013411473008001802,1.0208169334382926,
2,MU,Micron Technology,Information Technology,Semiconductors,1147237564416,0.9128030303030302,2026-09-30,6.0,4.0,0.0,20.28,14.040000000000001,12.146596858638743,3.457155144608107,2.0419912300059346,2,1.4151639146021724,3.457,0.80370003,0.55906,0.66638,-0.287971626575836,0.6425286739467726,-0.11661159431808288,5.521689457125995,0.41164224829945106,22.9352,6.847771572718072,strong_buy,-0.009063145560893892,1.019081020032099,RECEIVABLES_OUTRUN
3,NVDA,Nvidia,Information Technology,Semiconductors,5367153557504,0.7831818181818182,2026-11-17,54.0,4.0,0.0,5.12,1.459999999999999,1.1142857142857143,1.0585114348672526,0.42703733800779475,3,0.6314740968594579,1.059,0.66236997,0.63663,1.17211,-0.11730247270052462,0.1348443314035077,-0.041208756276021385,0.23114347468316776,0.45315067173249535,28.099874,14.37960365863748,strong_buy,0.25387191656616315,0.6966025331943861,"HIGH_ACCRUALS,RECEIVABLES_OUTRUN"
4,ANET,Arista Networks,Information Technology,Communications Equipment,251475591168,0.765151515151515,2026-11-03,40.0,4.0,0.0,9.015,4.88,0.3972602739726028,0.3768595791001452,0.13193411610088335,3,0.24492546299926188,0.377,0.45393002,0.38371,0.31476,-2.8759589654015976,0.30527258037701377,-0.033396668785258266,0.3600026762290178,0.1846270632226965,63.298412,39.4300289630734,strong_buy,-0.06270137600206686,1.3120209662265736,
5,NEM,Newmont,Materials,Gold,130036170752,0.7233901515151514,2026-10-22,28.0,4.0,0.0,20.555,-1.9800000000000004,0.46853146853146876,0.1506488621403046,-0.04245994437409162,2,0.19310880651439621,0.151,0.51569,0.33363998,0.25905,-0.19996484614817098,0.12215242530356796,-0.08385975460665518,0.5260500840866389,0.09903437188193664,15.542822,12.064523145419997,buy,-0.07146782972536922,1.4688844945911363,
6,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,318165319680,0.6987689393939394,2026-10-14,20.0,4.0,0.0,18.3975,-5.245000000000003,0.6244131455399062,0.2742886439374519,0.052906419248662795,3,0.2213822246887891,0.28,0.41567,0.25897,0.17969999,,0.03452496779893899,-0.1271840643415495,0.26875966632827697,0.19173633110226396,16.36349,14.54219457042497,buy,0.023600436722311234,-0.7733564872240138,"LOW_CASH_CONVERSION,RECEIVABLES_OUTRUN"
7,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,4274851676160,0.6952840909090909,2026-10-28,34.0,4.0,0.0,85.60499999999999,137.32,2.9437229437229435,0.2423362508814868,0.09505489468047834,3,0.14728135620100846,0.242,0.34033,0.54771,0.48676,-0.7027037421946938,0.0008179326382742325,-0.1598801582216255,0.34126073635854914,0.26738089281015287,17.54719,22.700775607410336,strong_buy,0.08220297801460076,0.7603243176839131,HIGH_ACCRUALS
8,AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,352809615360,0.6778409090909091,2026-11-12,49.0,4.0,0.0,5.2875,-0.9649999999999999,0.41129032258064524,0.2482881402355519,0.1565751032095144,3,0.0917130370260375,0.248,0.33736,0.30052,0.41068,-0.18581985343943003,0.1333181615064274,-0.343171149040322,1.378834055628153,0.3509964446294904,38.325,25.7049811385955,strong_buy,0.022410044639985593,0.9060105751591669,
9,KLAC,KLA Corporation,Information Technology,Semiconductor Materials & Equipment,231245725696,0.6748295454545454,2026-10-28,34.0,4.0,0.0,2.6175,2.405,0.1170212765957448,0.15208012244148428,0.0649644242047478,2,0.08711569823673648,0.152,0.42486,0.35574,0.87496,0.2063343570642209,0.0758153133905557,-0.3766453092780947,0.807729989744552,0.24438001299100764,48.357925,28.01626805102176,buy,0.040429329553457655,0.8576434279331394,RECEIVABLES_OUTRUN
10,APH,Amphenol,Information Technology,Electronic Components,191235735552,0.6530303030303031,2026-10-28,34.0,4.0,0.0,11.175,2.799999999999999,0.6666666666666667,0.5838910829349409,0.2008835157387927,2,0.38300756719614815,0.55,0.29779,0.17729001,0.38115,1.4151123768447922,0.12194060036914478,-0.0662718699354985,0.33554767356664406,0.2077467703053837,38.775,25.105154041285267,strong_buy,-0.03892619307182648,1.28346209830926,
